116,7,110,1539,5069,BUDAMARA SC,21
117,7,110,1539,5072,DUMURDIHA SC,21
118,7,110,1539,5075,RADHANAGAR SC,21
119,7,110,1539,5077,BADJAMBILLA SC,21
120,7,110,1539,5080,SANPURUNAPANI SC,21
121,7,110,1539,5082,ASANA SC,21
122,7,110,1539,5083,MAJHIGAON SC,21
123,7,110,1539,5085,BAUTIBEDA SC,21
124,7,110,1539,5087,MAHUBHANDAR SC,21
125,7,110,1539,5089,BISOI SC,21
126,7,110,1539,5090,PANPOSI SC,21
127,7,110,1539,5092,LUHABADIA SC,21
128,7,110,1539,5093,BHOLBEDA SC,21
129,7,110,1539,5095,PUNDIDA SC,21
130,7,110,1539,5096,KHADAMBEDA SC,21
131,7,110,1539,5099,N.B.POKHORIA SC,21
132,7,121,1510,5110,BANGRIPOSI SC,21
133,7,105,1260,5131,BAHALDA SC,21
134,7,105,1260,5133,KULGI SC,21
135,7,105,1260,5135,KANKI SC,21
136,7,105,1260,5137,BINJHUA SC,21
137,7,105,1260,5140,JHADGAN SC,21
138,7,105,1260,5143,SOSO SC,21
139,7,105,1260,5146,BASINGI SC,21
140,7,105,1260,5149,JHARADIHI SC,21
141,7,105,1260,5176,SURUDA SC,21
142,7,105,1260,5181,GIDIGHATY SC,21
143,7,105,1260,5183,BADPALSA SC,21
144,7,105,1260,5186,BADKEDAM SC,21
145,7,105,1260,5187,P.M.PANI SC,21
146,7,105,1260,5189,JASHIPUR SC,21
147,7,105,1260,5193,TARANA SC,21
148,7,105,1260,5194,NUAGAON SC,21
149,7,105,1260,5196,BADAPUTKA SC,21
150,7,105,1260,5200,DEORADIHI SC,21
151,7,105,1260,5203,BHITARAMDA SC,21
152,7,105,1260,5206,ASANA SC,21
153,7,105,1260,5209,GAMBHARIA SC,21
154,7,105,1260,5213,J.N.PUR SC,21
155,7,105,1260,5214,B.BOSE SC,21
156,7,105,1260,5218,KULTA SC,21
157,7,105,1260,5219,ANLAJODI SC,21
158,7,105,1260,5222,KUMBHIRMUNDI SC,21
159,7,121,1510,5252,NITEI SC,21
160,7,121,1510,5254,NISCHINTA SC,21
161,7,121,1510,5255,CHANDANPUR SC,21
162,7,121,1510,5257,BANKATI SC,21
163,7,121,1510,5261,SALBANI SC,21
164,7,121,1510,5273,BEDHAKUDAR SC,21
165,7,121,1510,5274,PATHURI SC,21
166,7,121,1510,5278,BUDAMARA SC,21
167,7,121,1510,5282,KALABADIA SC,21
168,7,121,1510,5284,KM KOTA SC,21
169,7,121,1510,5288,KANJIASOLE SC,21
170,7,121,1510,5291,BASANTPUR SC,21
171,7,121,1510,5293,SORISAPAL SC,21
172,7,121,1510,5295,KUSUMBANDH SC,21
173,7,121,1510,5296,KANCHHINDA SC,21
174,7,121,1510,5299,GHATKUANRI SC,21
175,7,121,1510,5302,BASKITOLA SC,21
176,7,121,1510,5304,BADGAON SC,21
177,7,121,1510,5307,BHUASUNI SC,21
178,7,121,1510,5309,DHOBANISOLE SC,21
179,7,121,1510,5311,KANDALIA SC,21
180,7,121,1510,5314,JALDIHA SC,21
181,7,121,1510,5318,BUDHIKHAMARI SC,21
182,7,104,1634,5323,TIRING SC,21
183,7,104,1634,5326,NUAGAN SC,21
184,7,104,1634,5330,NARANPUR SC,21
185,7,104,1634,5332,JADUNATHPUR SC,21
186,7,104,1634,5336,BADDALIMA SC,21
187,7,104,1634,5338,BHOLAGADIA SC,21
188,7,104,1634,5342,PANDUPANI SC,21
189,7,104,1634,5344,SANBHUNDU SC,21
190,7,104,1634,5347,RAMBEDA SC,21
191,7,104,1634,5349,TALSA SC,21
192,7,104,1634,5351,LUPUNG SC,21
193,7,104,1634,5354,PANDHDA SC,21
194,7,104,1634,5356,RENGALBEDA SC,21
195,7,104,1634,5359,DEOGAN SC,21
196,7,114,1622,5367,ARJUNBILLA SC,21
197,7,114,1622,5370,BARIA SC,21
198,7,114,1622,5371,GALUSAHI SC,21
199,7,114,1622,5373,HALADIA SC,21
200,7,114,1622,5375,INDUPUR SC,21
201,7,114,1622,5377,JAMUTY SC,21
202,7,114,1622,5379,KHICHING SC,21
203,7,114,1622,5381,KUMBHIRDA SC,21
204,7,114,1622,5383,SINGDA SC,21
205,7,114,1622,5386,SUKRULI SC,21
206,7,114,1622,5388,CHAMPREI SC,21
207,7,114,1622,5389,CHATURANJALI SC,21
208,7,114,1622,5391,BHRAMARPOSI SC,21
